model,question_id,temperature,num_samples,num_correct,num_attempted_samples,num_reference_failed_samples,pass@1,pass@2,pass@3,pass@4,pass@5,pass@6,pass@7,pass@8,pass@9,pass@10,pass@11,pass@12,pass@13,pass@14,pass@15,pass@16,pass@17,pass@18,pass@19,pass@20
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_044,0.5,50,2,50,0,0.04,0.0792,0.1176,0.1551,0.1918,0.2278,0.2629,0.2971,0.3306,0.3633,0.3951,0.4261,0.4563,0.4857,0.5143,0.542,0.569,0.5951,0.6204,0.6449
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_045,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_046,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_047,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_048,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_049,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_050,0.5,50,2,50,0,0.04,0.0792,0.1176,0.1551,0.1918,0.2278,0.2629,0.2971,0.3306,0.3633,0.3951,0.4261,0.4563,0.4857,0.5143,0.542,0.569,0.5951,0.6204,0.6449
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_051,0.5,50,33,50,0,0.66,0.889,0.9653,0.9897,0.9971,0.9992,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_052,0.5,50,21,50,0,0.42,0.6686,0.8136,0.8969,0.944,0.9701,0.9844,0.992,0.996,0.9981,0.9991,0.9996,0.9998,0.9999,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_053,0.5,50,1,50,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_054,0.5,50,2,50,0,0.04,0.0792,0.1176,0.1551,0.1918,0.2278,0.2629,0.2971,0.3306,0.3633,0.3951,0.4261,0.4563,0.4857,0.5143,0.542,0.569,0.5951,0.6204,0.6449
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_055,0.5,50,23,50,0,0.46,0.7135,0.8508,0.9238,0.9619,0.9814,0.9911,0.9959,0.9981,0.9992,0.9997,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_056,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_057,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_058,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_059,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_060,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_061,0.5,50,5,50,0,0.1,0.1918,0.276,0.353,0.4234,0.4874,0.5457,0.5985,0.6463,0.6894,0.7283,0.7631,0.7943,0.8221,0.8468,0.8687,0.888,0.905,0.9198,0.9327
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_062,0.5,50,43,50,0,0.86,0.9829,0.9982,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_063,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_064,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_065,0.5,50,35,50,0,0.7,0.9143,0.9768,0.9941,0.9986,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_066,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,m2_067,0.5,50,6,50,0,0.12,0.2278,0.3243,0.4105,0.4874,0.5558,0.6164,0.6699,0.717,0.7585,0.7947,0.8263,0.8537,0.8774,0.8979,0.9154,0.9303,0.943,0.9537,0.9626
tinker/tinker://c45c25a1-9449-5fe5-bcda-026e4662b6be:train:0/sampler_weights/m2-qwen3-4b-codegen-v1-sampler,__aggregate__,0.5,3350,485,3350,0,0.1448,0.2127,0.2544,0.2842,0.3072,0.326,0.3416,0.355,0.3666,0.3767,0.3855,0.3933,0.4003,0.4065,0.4121,0.4172,0.4218,0.4259,0.4297,0.4332
